,ID,J_ID,Cruise_name,Bio_or_Fossil,Unique_collection_event number,Parent_ID,Dive_Number,Alvin_Dive_Event_Number,Sample_ID,Collection_time (UTC),Latitude (⁰N),Longitude (⁰E),Depth (m),Number_of_specimens,Weight (g),Bristol_name,Order,Family,Genus,Species (Stylasterid_by_Jess_orange_July_2024),Preservation_state,Temperature (°C),Standard_Deviation (Temp),Conductivity,Density (kg/m3),Salinity (psu),[O2] (μmol/kg),Silicate (µmol/kg),Phosphate (µmol/kg),Alkalinity,Pressure (dbar),pH (total 25°C 0dbar),DIC (µmol/mol),Aragonite_Saturation_State,Notes,My_Notes,Residuals_Avg,Ba/Ca - 1,Ba/Ca - 2,Ba/Ca - t,hover_text
0,AT5009_B0025_Dive5158_Ev002_001,J8,AT5009,B,25,225.0,5158,2,1,3/31/2023 16:33,-0.1476763,-90.8896209,-882.36,1,5.0,Stylasterid,Anthoathecata,,Stylaster,divergens,L,5.3953,0.01972087726243443,3.382531,1031.3512,34.5583,56.35,82.61,2.61,2363.0,1001.0,7.7248,2308.392693812538,0.767721480433933,1 small sty, ,1.477282217595235,16.78508860593448,16.80741064588403,17.76344720965926,J_ID: J8<br>O2: 56.35 μmol/kg<br>Ba/Ca J8-1: 16.79<br>Ba/Ca J8-2: 16.81<br>Ba/Ca J8-t: 17.76<br>Species: divergens<br>
1,AT5009_B0289_Dive5158_Ev004_001,J21,AT5009,B,289,226.0,5158,4,1,3/31/2023 17:20,-0.1473358,-90.8881965,-808.33,1,3.0,Stylasterid,Anthoathecata,,Crypthelia,Unknown,L,5.8076,0.001713767778901218,3.416516,1030.9545,34.5595,52.79,82.61,2.61,2363.0,1001.0,7.7248,2308.392693812538,0.767721480433933,small part of sty,Sty is connected to scler,1.1045136180198671,15.81353813508515,15.84110664160742,,J_ID: J21<br>O2: 52.79 μmol/kg<br>Ba/Ca J21-1: 15.81<br>Ba/Ca J21-2: 15.84<br>Ba/Ca J21-t: nan<br>Species: Unknown<br>
2,AT5009_B0543_Dive5161_Ev005_001,J22,AT5009,B,543,270.0,5161,5,1,2023-03-04 17:49:00,0.4606956,-90.7115629,-510.13,1,14.0,Stylasterid,Anthoathecata,,Stylaster,divergens,L,8.1132,0.0008142481194323243,3.620647,1029.3022,34.6357,21.824,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,sty grow together with desmo cup coral,There are two dive 5161 ev5 stylasterids with B numbers not on this sheet,2.4004860774228542,13.03939329795225,12.73176099663472,12.75878823576304,J_ID: J22<br>O2: 21.82 μmol/kg<br>Ba/Ca J22-1: 13.04<br>Ba/Ca J22-2: 12.73<br>Ba/Ca J22-t: 12.76<br>Species: divergens<br>
3,AT5009_B0660_Dive5161_Ev005_001,J23,AT5009,B,660,270.0,5161,5,1,2023-03-04 17:49:00,0.4606956,-90.7115629,-510.4,1,,Stylasterid,Anthoathecata,,Stylaster,galapagensis,,8.1132,0.0008142481194323243,3.620647,1029.3022,34.6357,21.824,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,sty grow together with desmo cup coral,"These two were not in the sheet so I added them, there was another of the B543 but it didn’t exist so this replaced it",1.7034638591582372,12.33700794440897,11.94226030264195,12.15960762850524,J_ID: J23<br>O2: 21.82 μmol/kg<br>Ba/Ca J23-1: 12.34<br>Ba/Ca J23-2: 11.94<br>Ba/Ca J23-t: 12.16<br>Species: galapagensis<br>
4,AT5009_B0662_Dive5161_Ev005_001,J24,AT5009,B,662,270.0,5161,5,1,2023-03-04 17:49:00,0.4606956,-90.7115629,-510.7,1,,Stylasterid,Anthoathecata,,Stylaster,divergens,L,8.1132,0.0008142481194323243,3.620647,1029.3022,34.6357,21.824,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,sty grow together with desmo cup coral,"These two were not in the sheet so I added them, there was another of the B543 but it didn’t exist so this replaced it",1.6463236160806523,11.79217577402515,12.03736620349981,12.43791316879845,J_ID: J24<br>O2: 21.82 μmol/kg<br>Ba/Ca J24-1: 11.79<br>Ba/Ca J24-2: 12.04<br>Ba/Ca J24-t: 12.44<br>Species: divergens<br>
5,AT5009_B0248_Dive5161_Ev007_001s,J4,AT5009,B,248,269.0,5161,7,001s,2023-03-04 18:13:00,0.4607214,-90.7115775,-509.78,1,25.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,divergens,L,8.1132,0.0008142481194323243,3.620647,1029.3022,34.6357,21.824,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,Desmo and Sty attached,,2.2786895032458228,11.09323579454822,11.55393905273701,12.24633544132333,J_ID: J4<br>O2: 21.82 μmol/kg<br>Ba/Ca J4-1: 11.09<br>Ba/Ca J4-2: 11.55<br>Ba/Ca J4-t: 12.25<br>Species: divergens<br>
6,AT5009_B0206_Dive5161_Ev010_001s,J11,AT5009,B,206,843.0,5161,10,001s,2023-03-04 19:02:00,0.461912,-90.7123526,-516.7,1,150.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,galapagensis,L,8.1046,0.002244548952462256,3.62011,1029.3351,34.6352,21.862,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,"big colonial corals, looks like many cup corals grow together, with desmo and stylasteridae",,127.79197787478269,121.3238247838422,81.48216182972114,212.2053779131824,J_ID: J11<br>O2: 21.86 μmol/kg<br>Ba/Ca J11-1: 121.32<br>Ba/Ca J11-2: 81.48<br>Ba/Ca J11-t: 212.21<br>Species: galapagensis<br>
7,AT5009_B0206_Dive5161_Ev010_001t,J12,AT5009,B,206,843.0,5161,10,001t,2023-03-04 19:02:00,0.461912,-90.7123526,-517.0,1,150.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,divergens,L,8.1046,0.002244548952462256,3.62011,1029.3351,34.6352,21.862,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,"big colonial corals, looks like many cup corals grow together, with desmo and stylasteridae",,20.205903844055925,23.26256820760021,22.73040866173467,46.26016556523063,J_ID: J12<br>O2: 21.86 μmol/kg<br>Ba/Ca J12-1: 23.26<br>Ba/Ca J12-2: 22.73<br>Ba/Ca J12-t: 46.26<br>Species: divergens<br>
8,AT5009_B0206_Dive5161_Ev010_001u,J13,AT5009,B,206,843.0,5161,10,001u,2023-03-04 19:02:00,0.461912,-90.7123526,-517.3,1,150.0,Stylasterid,Anthoathecata,Stylasteridae,Crypthelia,cf cymas,L,8.1046,0.002244548952462256,3.62011,1029.3351,34.6352,21.862,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,"big colonial corals, looks like many cup corals grow together, with desmo and stylasteridae",,15.86744434619847,23.38701480289389,23.79539399460673,32.05535514349252,J_ID: J13<br>O2: 21.86 μmol/kg<br>Ba/Ca J13-1: 23.39<br>Ba/Ca J13-2: 23.80<br>Ba/Ca J13-t: 32.06<br>Species: cf cymas<br>
9,AT5009_B0426_Dive5161_Ev010_001,J25,AT5009,B,426,267.0,5161,10,1,2023-03-04 19:02:00,0.461912,-90.7123526,-517.6,1,3.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,galapagensis,L,8.1046,0.002244548952462256,3.62011,1029.3351,34.6352,21.862,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,small stylasterid grow on rock,,1.306647303561171,11.60959207465998,12.09398980072752,,J_ID: J25<br>O2: 21.86 μmol/kg<br>Ba/Ca J25-1: 11.61<br>Ba/Ca J25-2: 12.09<br>Ba/Ca J25-t: nan<br>Species: galapagensis<br>
